left_entity_id,right_business_id,confidence
19497,84893,1.0
64525,82781,1.0
14220,82723,1.0
27288,85286,1.0
6550,84228,1.0
75046,90899,1.0
87830,84497,1.0
44933,86440,1.0
75616,86482,1.0
51724,86739,1.0
60671,85743,1.0
21372,82376,1.0
49521,84944,1.0
91425,88709,1.0
74811,82216,1.0
81068,91074,1.0
35101,84041,1.0
18453,84602,1.0
10377,88348,1.0
80337,87617,1.0
540,88547,1.0
85077,83358,1.0
34069,81219,1.0
7060,88365,1.0
52593,83019,1.0
78545,87900,1.0
85579,87198,1.0
61819,85707,1.0
11719,82484,1.0
69292,81723,1.0
39295,81420,1.0
39453,83957,1.0
94088,86487,1.0
11224,81279,1.0
21929,88939,1.0
74933,81916,1.0
57749,90955,1.0
67330,82899,1.0
2173,86625,1.0
34284,83194,1.0
67681,82033,1.0
77697,87599,1.0
49138,87817,1.0
10478,89673,1.0
82903,90383,1.0
93363,81388,1.0
86294,89407,1.0
40049,87343,1.0
12871,82239,1.0
90702,83356,1.0
7256,85518,1.0
18797,82142,1.0
36691,90860,1.0
82417,85736,1.0
48543,85923,1.0
9369,89659,1.0
6433,84984,1.0
77495,82911,1.0
37067,81716,1.0
24159,84852,1.0
50405,86065,1.0
42904,82908,1.0
38034,82664,1.0
2508,82959,1.0
45930,89928,1.0
91110,83752,1.0
696,87455,1.0
43361,81059,1.0
90010,82841,1.0
75594,82814,1.0
36401,81370,1.0
78370,88235,1.0
51431,82587,1.0
91523,90855,1.0
84683,84528,1.0
13558,87543,1.0
6332,85662,1.0
57231,82667,1.0
73289,88833,1.0
4166,89884,1.0
70871,88220,1.0
77454,80965,1.0
80510,85258,1.0
20537,82048,1.0
54776,82668,1.0
83780,88956,1.0
60719,82450,1.0
77799,89651,1.0
59060,89872,1.0
20660,87081,1.0
42342,82085,1.0
59631,85453,1.0
88972,88981,1.0
11032,81653,1.0
56085,91611,1.0
72330,90730,1.0
23247,76128,1.0
41509,77769,1.0
84818,51882,1.0
59672,79166,1.0
76210,62743,1.0
60077,76505,1.0
33747,70579,1.0
12109,53786,1.0
5515,73300,1.0
24567,73037,1.0
89190,64639,1.0
60100,65676,1.0
63210,58891,1.0
36229,59565,1.0
54529,57701,1.0
56791,69948,1.0
5047,77363,1.0
3522,72966,1.0
40839,55752,1.0
32776,54970,1.0
41175,64268,1.0
78496,78470,1.0
93684,61468,1.0
4037,78613,1.0
62761,68462,1.0
20633,75616,1.0
69551,69171,1.0
86981,60962,1.0
71245,71016,1.0
87239,78950,1.0
18191,61038,1.0
66762,72607,1.0
69265,56296,1.0
44431,72921,1.0
59607,75934,1.0
73468,51622,1.0
40078,70061,1.0
62309,73542,1.0
27725,68643,1.0
34237,77940,1.0
27717,53800,1.0
22159,79411,1.0
88751,79177,1.0
54044,74491,1.0
59509,57580,1.0
20666,68870,1.0
28817,59974,1.0
1551,51504,1.0
85248,55618,1.0
63206,71621,1.0
46669,53098,1.0
65258,57938,1.0
93789,67216,1.0
24813,68537,1.0
50358,60207,1.0
23663,88247,1.0
75067,80193,1.0
41871,71290,1.0
45361,60315,1.0
57690,74992,1.0
25262,61238,1.0
92289,52189,1.0
93991,70715,1.0
76405,79918,1.0
48250,60267,1.0
85800,63257,1.0
46714,52179,1.0
55858,57648,1.0
10831,76806,1.0
48577,65789,1.0
7409,68432,1.0
43324,72818,1.0
42341,60261,1.0
38004,84508,1.0
68191,90689,1.0
1578,87920,1.0
11292,82279,1.0
59868,81026,1.0
70623,83813,1.0
4938,88816,1.0
24694,89932,1.0
89437,53698,1.0
82234,62632,1.0
52303,54121,1.0
8626,68891,1.0
74299,75022,1.0
69803,51922,1.0
10473,61716,1.0
45439,69747,1.0
86984,66154,1.0
71415,66412,1.0
67914,53103,1.0
7169,58871,1.0
73637,77053,1.0
25731,51900,1.0
41544,57364,1.0
83795,53149,1.0
11692,79566,1.0
82951,61886,1.0
72039,62574,1.0
60204,59467,1.0
1929,73252,1.0
32252,51443,1.0
46350,72757,1.0
42426,51845,1.0
70119,54496,1.0
62784,74521,1.0
25142,70912,1.0
179,69883,1.0
66714,84509,1.0
38040,91699,1.0
51557,64960,1.0
85381,84121,1.0
82491,81206,1.0
34924,82756,1.0
40400,81010,1.0
66040,89894,1.0
19856,85581,1.0
23108,91603,1.0
42388,85100,1.0
2732,83154,1.0
82425,83969,1.0
11868,82949,1.0
4235,86928,1.0
73056,86480,1.0
35870,90728,1.0
51226,87822,1.0
90296,81685,1.0
76155,85860,1.0
93476,81462,1.0
70543,82850,1.0
38771,85365,1.0
3612,82735,1.0
85689,84939,1.0
94240,90750,1.0
32602,81622,1.0
81735,87420,1.0
54367,81122,1.0
55702,81941,1.0
79531,82424,1.0
82744,87470,1.0
23732,88086,1.0
44050,88088,1.0
22687,82521,1.0
15232,84109,1.0
62115,88589,1.0
20545,82222,1.0
59008,82478,1.0
25822,81649,1.0
52826,85976,1.0
14605,87876,1.0
53774,83410,1.0
73069,86916,1.0
80462,85901,1.0
66478,85438,1.0
70224,82236,1.0
76141,89757,1.0
81982,89417,1.0
25296,90226,1.0
77492,88721,1.0
53041,82441,1.0
3684,84887,1.0
30864,84713,1.0
